,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__num_layers,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1213,4.796382045745849,0.10212130844214677,0.004903602600097656,0.0001957721372835826,100,0.1,200,1,<class 'torch.optim.adam.Adam'>,"{'batch_size': 100, 'lr': 0.1, 'max_epochs': 200, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9807692307692307,0.9711538461538461,0.8942307692307693,0.9903846153846154,0.9903846153846154,0.9653846153846153,0.03628454281560231,1
1033,5.703441715240478,0.21817266920508352,0.0050008296966552734,2.2212628743843298e-06,80,0.01,200,1,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.01, 'max_epochs': 200, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9615384615384616,0.9807692307692307,0.9038461538461539,0.9807692307692307,0.9903846153846154,0.9634615384615385,0.03124630155629215,2
904,2.9571009159088133,0.0816769411272539,0.004803657531738281,0.00039936015844792256,80,0.1,100,2,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.1, 'max_epochs': 100, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9711538461538461,0.9615384615384616,0.9134615384615384,0.9903846153846154,0.9807692307692307,0.9634615384615385,0.02678536207150793,2
1012,14.505019330978394,0.14481674690014598,0.0053009033203125,0.0006052742305098039,80,0.05,500,2,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.05, 'max_epochs': 500, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9615384615384616,0.9807692307692307,0.9230769230769231,0.9615384615384616,0.9903846153846154,0.9634615384615385,0.02307692307692306,2
949,13.08144907951355,0.07636208871559527,0.007203149795532227,0.005417960040909561,80,0.1,500,1,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.1, 'max_epochs': 500, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9615384615384616,0.9903846153846154,0.9038461538461539,0.9711538461538461,0.9903846153846154,0.9634615384615385,0.03183258722547472,2
985,8.00654501914978,0.1195065143025234,0.005303573608398437,0.0016673652220120583,80,0.05,300,1,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.05, 'max_epochs': 300, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9903846153846154,0.9423076923076923,0.9038461538461539,0.9807692307692307,0.9903846153846154,0.9615384615384617,0.0338592631954981,6
1069,13.385429239273071,0.14113398176206063,0.004600906372070312,0.0004904878895674012,80,0.01,500,1,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.01, 'max_epochs': 500, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9615384615384616,0.9711538461538461,0.9038461538461539,0.9807692307692307,0.9903846153846154,0.9615384615384617,0.03040651596315749,6
628,11.218085193634034,0.1047238817491113,0.007118844985961914,0.0011997432282384005,60,0.1,300,2,<class 'torch.optim.adam.Adam'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 300, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9519230769230769,0.9615384615384616,0.9134615384615384,0.9903846153846154,0.9903846153846154,0.9615384615384615,0.028523840334983345,8
352,24.2156551361084,0.5417703248550256,0.008638429641723632,0.006023920208641316,40,0.1,500,2,<class 'torch.optim.adam.Adam'>,"{'batch_size': 40, 'lr': 0.1, 'max_epochs': 500, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9807692307692307,0.9615384615384616,0.9134615384615384,0.9519230769230769,1.0,0.9615384615384615,0.029164905554044433,8
916,5.799728775024414,0.0517730004183799,0.005802059173583984,0.0009819878273551505,80,0.1,200,2,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.1, 'max_epochs': 200, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9615384615384616,0.9711538461538461,0.9134615384615384,0.9903846153846154,0.9711538461538461,0.9615384615384615,0.02580078435576682,8
1333,5.1679253578186035,0.11847015107979994,0.004999971389770508,1.1930461886593632e-06,100,0.01,200,1,<class 'torch.optim.adam.Adam'>,"{'batch_size': 100, 'lr': 0.01, 'max_epochs': 200, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9711538461538461,0.9903846153846154,0.9038461538461539,0.9615384615384616,0.9807692307692307,0.9615384615384615,0.03040651596315749,8
976,5.9554798126220705,0.09402245420237823,0.004503011703491211,0.0004473070841523489,80,0.05,200,2,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.05, 'max_epochs': 200, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9711538461538461,0.9711538461538461,0.8942307692307693,0.9903846153846154,0.9807692307692307,0.9615384615384615,0.03440104580768905,8
64,8.628796195983886,0.05918122333227406,0.008520841598510742,0.002635735350400562,20,0.05,100,2,<class 'torch.optim.adam.Adam'>,"{'batch_size': 20, 'lr': 0.05, 'max_epochs': 100, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9711538461538461,0.9326923076923077,0.9038461538461539,1.0,0.9903846153846154,0.9596153846153846,0.03618247638889765,13
460,19.665409660339357,0.2645027121206134,0.00783395767211914,0.002935033605903531,40,0.01,400,2,<class 'torch.optim.adam.Adam'>,"{'batch_size': 40, 'lr': 0.01, 'max_epochs': 400, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9326923076923077,0.9807692307692307,0.9038461538461539,0.9807692307692307,1.0,0.9596153846153846,0.035667763444214226,13
973,5.392066907882691,0.1045671180449069,0.005000257492065429,0.000632711568702955,80,0.05,200,1,<class 'torch.optim.adam.Adam'>,"{'batch_size': 80, 'lr': 0.05, 'max_epochs': 200, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9615384615384616,0.9615384615384616,0.9038461538461539,0.9903846153846154,0.9807692307692307,0.9596153846153846,0.030039421830410206,13
